job_id,title,employer_name,city,employment_type,required_skills,preferred_majors,project_signals,source_asset_id,source_title,source_url,published_on,valid_until,status,demo_only,notes
NCSS-4VWYnP5rn9HjfChj4wYTs3,嵌入式物联网开发工程师,大秉(北京)信息科技有限公司,河北,全职,Python;Java;JavaScript;C/C++;物联网,计算机科学与技术;软件工程;数据科学与大数据技术;网络工程;信息安全;网络空间安全;物联网工程;智能科学与技术;通信工程;人工智能;区块链工程;信息管理与信息系统,物联网项目,SRC-NCSS-PUBLIC-JOBS-20260805,国家大学生就业服务平台公开岗位,https://www.ncss.cn/student/jobs/4VWYnP5rn9HjfChj4wYTs3/detail.html,2026-08-05,2026-08-12,published,false,公开列表在采集日可访问；有效期为本系统信息复核日期，不代表招聘方报名截止日期。
NCSS-LE3X9bzqmgWKa4F69vB5UR,Java开发工程师,大秉(北京)信息科技有限公司,河北,全职,Java;JavaScript;SQL;物联网,计算机科学与技术;软件工程;数据科学与大数据技术;网络工程;信息安全;网络空间安全;物联网工程;智能科学与技术;通信工程;人工智能;区块链工程;信息管理与信息系统,物联网项目,SRC-NCSS-PUBLIC-JOBS-20260805,国家大学生就业服务平台公开岗位,https://www.ncss.cn/student/jobs/LE3X9bzqmgWKa4F69vB5UR/detail.html,2026-08-05,2026-08-12,published,false,公开列表在采集日可访问；有效期为本系统信息复核日期，不代表招聘方报名截止日期。
NCSS-7F3YqbdW964ExordyMokDm,数据开发工程师,上海壹沅信息科技有限公司,安徽,全职,JavaScript;SQL;数据分析;物联网,计算机科学与技术;软件工程;数据科学与大数据技术;网络工程;信息安全;网络空间安全;物联网工程;智能科学与技术;通信工程;人工智能;区块链工程;信息管理与信息系统,数据分析项目,SRC-NCSS-PUBLIC-JOBS-20260805,国家大学生就业服务平台公开岗位,https://www.ncss.cn/student/jobs/7F3YqbdW964ExordyMokDm/detail.html,2026-08-05,2026-08-12,published,false,公开列表在采集日可访问；有效期为本系统信息复核日期，不代表招聘方报名截止日期。
NCSS-3jsDXiVcmkA7HNDWHMR8Wv,数据开发工程师,上海壹沅信息科技有限公司,江苏,全职,JavaScript;SQL;数据分析;物联网,计算机科学与技术;软件工程;数据科学与大数据技术;网络工程;信息安全;网络空间安全;物联网工程;智能科学与技术;通信工程;人工智能;区块链工程;信息管理与信息系统,数据分析项目,SRC-NCSS-PUBLIC-JOBS-20260805,国家大学生就业服务平台公开岗位,https://www.ncss.cn/student/jobs/3jsDXiVcmkA7HNDWHMR8Wv/detail.html,2026-08-05,2026-08-12,published,false,公开列表在采集日可访问；有效期为本系统信息复核日期，不代表招聘方报名截止日期。
NCSS-V2iV6WPkgwzBr6ikEcoKEA,大数据开发工程师,大秉(北京)信息科技有限公司,天津,全职,JavaScript;SQL;数据分析;物联网,计算机科学与技术;软件工程;数据科学与大数据技术;网络工程;信息安全;网络空间安全;物联网工程;智能科学与技术;通信工程;人工智能;区块链工程;信息管理与信息系统,数据分析项目,SRC-NCSS-PUBLIC-JOBS-20260805,国家大学生就业服务平台公开岗位,https://www.ncss.cn/student/jobs/V2iV6WPkgwzBr6ikEcoKEA/detail.html,2026-08-05,2026-08-12,published,false,公开列表在采集日可访问；有效期为本系统信息复核日期，不代表招聘方报名截止日期。
NCSS-6Kww8roA2oi3pNoPMWubWx,web开发工程师,上海壹沅信息科技有限公司,江苏,全职,Java;JavaScript;前端开发;物联网,计算机科学与技术;软件工程;数据科学与大数据技术;网络工程;信息安全;网络空间安全;物联网工程;智能科学与技术;通信工程;人工智能;区块链工程;信息管理与信息系统,前端项目,SRC-NCSS-PUBLIC-JOBS-20260805,国家大学生就业服务平台公开岗位,https://www.ncss.cn/student/jobs/6Kww8roA2oi3pNoPMWubWx/detail.html,2026-08-05,2026-08-12,published,false,公开列表在采集日可访问；有效期为本系统信息复核日期，不代表招聘方报名截止日期。
NCSS-4r8a46qMkX5RMT8qP1E5aZ,web开发工程师,上海壹沅信息科技有限公司,河南,全职,Java;JavaScript;前端开发;物联网,计算机科学与技术;软件工程;数据科学与大数据技术;网络工程;信息安全;网络空间安全;物联网工程;智能科学与技术;通信工程;人工智能;区块链工程;信息管理与信息系统,前端项目,SRC-NCSS-PUBLIC-JOBS-20260805,国家大学生就业服务平台公开岗位,https://www.ncss.cn/student/jobs/4r8a46qMkX5RMT8qP1E5aZ/detail.html,2026-08-05,2026-08-12,published,false,公开列表在采集日可访问；有效期为本系统信息复核日期，不代表招聘方报名截止日期。
NCSS-XVXVC9cs3zeyuncubUZJ6j,web开发工程师,上海壹沅信息科技有限公司,安徽,全职,Java;JavaScript;前端开发;物联网,计算机科学与技术;软件工程;数据科学与大数据技术;网络工程;信息安全;网络空间安全;物联网工程;智能科学与技术;通信工程;人工智能;区块链工程;信息管理与信息系统,前端项目,SRC-NCSS-PUBLIC-JOBS-20260805,国家大学生就业服务平台公开岗位,https://www.ncss.cn/student/jobs/XVXVC9cs3zeyuncubUZJ6j/detail.html,2026-08-05,2026-08-12,published,false,公开列表在采集日可访问；有效期为本系统信息复核日期，不代表招聘方报名截止日期。
NCSS-8QfvtMk6rKn1nmiJQA71uo,Java开发工程师,大秉(北京)信息科技有限公司,天津,全职,Java;JavaScript;SQL;物联网,计算机科学与技术;软件工程;数据科学与大数据技术;网络工程;信息安全;网络空间安全;物联网工程;智能科学与技术;通信工程;人工智能;区块链工程;信息管理与信息系统,物联网项目,SRC-NCSS-PUBLIC-JOBS-20260805,国家大学生就业服务平台公开岗位,https://www.ncss.cn/student/jobs/8QfvtMk6rKn1nmiJQA71uo/detail.html,2026-08-05,2026-08-12,published,false,公开列表在采集日可访问；有效期为本系统信息复核日期，不代表招聘方报名截止日期。
NCSS-KbvsXobt6q1CVFYcYvtWjW,固件/软件开发工程师,合肥沛睿微电子股份有限公司,安徽,全职,JavaScript,,软件开发项目,SRC-NCSS-PUBLIC-JOBS-20260805,国家大学生就业服务平台公开岗位,https://www.ncss.cn/student/jobs/KbvsXobt6q1CVFYcYvtWjW/detail.html,2026-08-05,2026-08-12,published,false,公开列表在采集日可访问；有效期为本系统信息复核日期，不代表招聘方报名截止日期。
NCSS-TNK7EUCdRhHv4p77DqeaKs,AI驱动软件开发：从详细设计到代码生成与审核-招聘培训课程销售顾问,北京中际赛威文化发展有限公司,北京,全职,Python;Java;JavaScript;C/C++,【本科】计算机科学与技术;【本科】电子信息工程;【本科】大数据管理与应用;【本科】网络工程,软件开发项目,SRC-NCSS-PUBLIC-JOBS-20260805,国家大学生就业服务平台公开岗位,https://www.ncss.cn/student/jobs/TNK7EUCdRhHv4p77DqeaKs/detail.html,2026-08-05,2026-08-12,published,false,公开列表在采集日可访问；有效期为本系统信息复核日期，不代表招聘方报名截止日期。
NCSS-7GMm8SEwa7he9tisfSCdCk,后端开发助理工程师,广东高标智能科技股份有限公司,广东,全职,Java;JavaScript;SQL;前端开发;数据分析,,前端项目,SRC-NCSS-PUBLIC-JOBS-20260805,国家大学生就业服务平台公开岗位,https://www.ncss.cn/student/jobs/7GMm8SEwa7he9tisfSCdCk/detail.html,2026-08-05,2026-08-12,published,false,公开列表在采集日可访问；有效期为本系统信息复核日期，不代表招聘方报名截止日期。
NCSS-5PUDeffNLhJbZcLVaHMNYJ,游戏客户端开发工程师,多益网络有限公司,广东,全职,JavaScript;数据分析,其他专业,数据分析项目,SRC-NCSS-PUBLIC-JOBS-20260805,国家大学生就业服务平台公开岗位,https://www.ncss.cn/student/jobs/5PUDeffNLhJbZcLVaHMNYJ/detail.html,2026-08-05,2026-08-12,published,false,公开列表在采集日可访问；有效期为本系统信息复核日期，不代表招聘方报名截止日期。
NCSS-HCt9TStXjXNQuChUMoeypW,客户端开发工程师,广州四三九九信息科技有限公司,广东,全职,Python;Java;JavaScript;C/C++,不限专业,软件开发项目,SRC-NCSS-PUBLIC-JOBS-20260805,国家大学生就业服务平台公开岗位,https://www.ncss.cn/student/jobs/HCt9TStXjXNQuChUMoeypW/detail.html,2026-08-05,2026-08-12,published,false,公开列表在采集日可访问；有效期为本系统信息复核日期，不代表招聘方报名截止日期。
NCSS-Q4yAEPNwzD8QJ3oGdv5i3b,游戏服务端开发工程师,多益网络有限公司,广东,全职,JavaScript;数据分析,其他专业,数据分析项目,SRC-NCSS-PUBLIC-JOBS-20260805,国家大学生就业服务平台公开岗位,https://www.ncss.cn/student/jobs/Q4yAEPNwzD8QJ3oGdv5i3b/detail.html,2026-08-05,2026-08-12,published,false,公开列表在采集日可访问；有效期为本系统信息复核日期，不代表招聘方报名截止日期。
NCSS-3C8RTsZZNTAcvTXVZLd4Du,软件开发工程师,新紫光集团有限公司2027秋招,浙江,全职,JavaScript;C/C++,计算机类,软件开发项目,SRC-NCSS-PUBLIC-JOBS-20260805,国家大学生就业服务平台公开岗位,https://www.ncss.cn/student/jobs/3C8RTsZZNTAcvTXVZLd4Du/detail.html,2026-08-05,2026-08-12,published,false,公开列表在采集日可访问；有效期为本系统信息复核日期，不代表招聘方报名截止日期。
NCSS-4DuNdXq25XdUhcuWG2EroS,软件开发工程师,新紫光集团有限公司2027秋招,四川,全职,JavaScript;Linux,电子信息类,软件开发项目,SRC-NCSS-PUBLIC-JOBS-20260805,国家大学生就业服务平台公开岗位,https://www.ncss.cn/student/jobs/4DuNdXq25XdUhcuWG2EroS/detail.html,2026-08-05,2026-08-12,published,false,公开列表在采集日可访问；有效期为本系统信息复核日期，不代表招聘方报名截止日期。
NCSS-4aYVhU2UgF2a5YnsVJnmRJ,集群开发工程师,新紫光集团有限公司2027秋招,天津,全职,Python;JavaScript;Docker,计算机类,软件开发项目,SRC-NCSS-PUBLIC-JOBS-20260805,国家大学生就业服务平台公开岗位,https://www.ncss.cn/student/jobs/4aYVhU2UgF2a5YnsVJnmRJ/detail.html,2026-08-05,2026-08-12,published,false,公开列表在采集日可访问；有效期为本系统信息复核日期，不代表招聘方报名截止日期。
NCSS-642VrWgfyT7wue3ShRrVxy,集群开发工程师,新紫光集团有限公司2027秋招,上海,全职,Python;JavaScript;Docker,计算机类,软件开发项目,SRC-NCSS-PUBLIC-JOBS-20260805,国家大学生就业服务平台公开岗位,https://www.ncss.cn/student/jobs/642VrWgfyT7wue3ShRrVxy/detail.html,2026-08-05,2026-08-12,published,false,公开列表在采集日可访问；有效期为本系统信息复核日期，不代表招聘方报名截止日期。
NCSS-9dp7HPrWJ8gPnfcJh2Wh6q,结构件开发工程师,广州融捷能源科技有限公司,广东,全职,JavaScript,【硕士】机械工程;【硕士】机械;【硕士】智能制造技术,软件开发项目,SRC-NCSS-PUBLIC-JOBS-20260805,国家大学生就业服务平台公开岗位,https://www.ncss.cn/student/jobs/9dp7HPrWJ8gPnfcJh2Wh6q/detail.html,2026-08-05,2026-08-12,published,false,公开列表在采集日可访问；有效期为本系统信息复核日期，不代表招聘方报名截止日期。
